City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,zaranj,30.9667,61.8833,22.83,16,0,0.89,AF,1696297364
294,holualoa,19.6228,-155.9522,27.1,77,40,3.6,US,1696297364
295,kununurra,-15.7667,128.7333,33.99,46,3,2.57,AU,1696297333
296,kutahya,39.4242,29.9833,9.34,94,58,1.9,TR,1696297365
297,kamloops,50.6665,-120.3192,13.55,74,75,4.12,CA,1696297365
298,nar'yan-mar,67.6713,53.087,3.95,78,58,9.39,RU,1696297265
299,cassilandia,-19.1133,-51.7342,24.19,83,95,1.45,BR,1696297365
300,bushehr,28.9684,50.8385,28.05,61,0,2.06,IR,1696297365
301,miyako,39.6367,141.9525,21.49,49,97,3.25,JP,1696297365
302,crane,31.3974,-102.3501,25.7,61,77,11.16,US,1696297229
303,valparaiso,-33.0393,-71.6273,12.8,58,75,3.09,CL,1696297172
304,amstetten,48.1229,14.8721,14.43,89,25,0.72,AT,1696297366
305,yei,4.095,30.6779,19.63,94,100,0.74,SS,1696297366
306,tabou,4.423,-7.3528,24.75,88,100,4.41,CI,1696297297
307,tzucacab,20.0667,-89.05,26.92,77,86,1.42,MX,1696297366
308,bratske,47.865,31.5731,9.81,65,7,3.59,UA,1696297366
309,nova olimpia,-14.7972,-57.2881,28.64,55,41,1.8,BR,1696297366
310,wailua homesteads,22.0669,-159.378,28.24,77,0,4.63,US,1696297234
311,konkwesso,10.8469,4.0984,24.16,90,100,1.17,NG,1696297366
312,pizarro,4.9533,-77.366,25.53,90,100,2.05,CO,1696297367
313,ouadda,8.0777,22.4007,20.62,88,100,1.31,CF,1696297367
314,wanlaweyn,2.6185,44.8938,24.76,89,14,3.7,SO,1696297367
315,mahina,-17.5065,-149.489,26.87,74,75,2.57,PF,1696297367
316,alofi,-19.0595,-169.9187,23.94,69,75,9.77,NU,1696297258
317,bardai,11.65,7.2333,21.11,86,100,2.67,NG,1696297367
318,tangalle,6.024,80.7911,25.09,82,96,2.78,LK,1696297367
319,choibalsan,48.0667,114.5,7.62,30,25,7.56,MN,1696297367
320,wewak,-3.5534,143.6268,25.95,89,100,4.26,PG,1696297368
321,kencong,-8.2833,113.3667,28.48,61,78,2.25,ID,1696297368
322,brookings,44.3114,-96.7984,25.21,50,0,1.34,US,1696297307
323,sarmiento,-45.5882,-69.07,9.82,51,31,3.88,AR,1696297368
324,castillos,-34.1667,-53.8333,10.34,95,61,2.18,UY,1696297368
325,yverdon-les-bains,46.7785,6.6412,19.2,47,100,2.61,CH,1696297368
326,sergeyevka,53.88,67.4158,8.08,75,39,3.27,KZ,1696297368
327,mabaruma,8.2,-59.7833,26.2,86,100,1.53,GY,1696297368
328,general acha,-37.377,-64.6043,14.84,76,100,4.17,AR,1696297369
329,nowy dwor mazowiecki,52.4302,20.7165,16.17,88,0,2.57,PL,1696297369
330,pekanbaru,0.5333,101.45,26.18,89,20,0.0,ID,1696297369
331,jutai,-5.1833,-68.9,26.46,71,100,0.09,BR,1696297369
332,happy valley-goose bay,53.3168,-60.3315,7.17,61,75,3.09,CA,1696297369
333,port isabel,26.0734,-97.2086,31.02,76,20,4.12,US,1696297369
334,redencao,-4.2258,-38.7306,23.66,93,38,0.76,BR,1696297369
335,khouribga,32.9333,-6.6,22.8,36,76,1.75,MA,1696297369
336,quepos,9.4236,-84.1652,26.1,82,100,1.54,CR,1696297369
337,nemuro,43.3236,145.575,16.09,68,6,10.77,JP,1696297370
338,beysehir,37.6773,31.7246,13.19,80,67,3.98,TR,1696297370
339,oroqen zizhiqi,50.5667,123.7167,12.96,51,100,1.53,CN,1696297370
340,gul'kevichi,45.3538,40.6946,17.08,83,67,1.31,RU,1696297370
341,villa angela,-27.5738,-60.7153,21.27,41,0,5.46,AR,1696297370
342,tupiza,-21.45,-65.7167,15.15,37,87,3.14,BO,1696297370
343,taltal,-25.4,-70.4833,15.1,84,5,2.93,CL,1696297220
344,puerto aysen,-45.4,-72.7,2.89,99,99,1.28,CL,1696297371
345,griffith,41.5284,-87.4237,24.47,66,0,0.0,US,1696297371
346,luwuk,-0.9516,122.7875,30.43,58,63,2.05,ID,1696297371
347,baiyin,36.5583,104.2081,14.77,59,70,2.17,CN,1696297282
348,west plains,36.7281,-91.8524,22.83,71,0,0.0,US,1696297371
349,nyurba,63.2842,118.3319,-1.09,75,56,2.24,RU,1696297371
350,egletons,45.4034,2.0507,13.04,90,5,1.35,FR,1696297371
